area_name,area_code,area_group,score_2007,score_2008,score_2009,score_2010,score_2011,score_2012,score_2013,score_2014,score_2015,score_2016,score_2017,score_2018,score_2019,score_2020
Afghanistan,AFG,Asia-Pacific,33.7,34.0,34.2,34.2,34.0,33.5,34.8,35.5,33.9,34.1,34.7,33.2,33.6,34.4
Albania,ALB,Eastern Europe,54.9,55.1,55.3,56.3,57.1,57.3,57.2,57.1,57.4,57.7,57.9,59.2,60.1,59.6
Algeria,DZA,Middle East and North Africa,48.8,48.8,49.3,49.3,50.2,48.9,48.4,49.7,49.9,50.0,49.9,50.9,51.9,51.9
Angola,AGO,Sub-Saharan Africa,35.7,36.6,37.1,38.0,38.0,38.6,37.8,38.5,37.7,37.5,37.6,38.0,38.5,38.8
Argentina,ARG,Latin America and the Caribbean,58.1,57.9,58.0,58.6,58.4,58.7,58.5,58.3,57.7,58.1,58.7,60.2,60.8,60.5
Armenia,ARM,Eastern Europe,56.0,57.4,56.6,55.3,55.1,55.6,56.5,57.1,57.1,56.7,56.9,58.4,60.2,61.4
Australia,AUS,Asia-Pacific,78.8,78.8,78.8,78.7,78.7,78.9,78.5,78.4,78.0,78.6,78.4,78.7,78.6,78.6
Austria,AUT,Western Europe,79.3,79.4,79.6,79.1,79.3,79.5,79.6,79.8,79.5,79.9,79.6,79.7,80.2,80.4
Azerbaijan,AZE,Eastern Europe,51.0,51.2,51.8,52.4,51.8,52.2,52.7,53.2,53.7,53.2,53.3,54.4,55.8,57.7
Bahrain,BHR,Middle East and North Africa,61.4,61.9,61.9,61.8,62.1,60.9,59.4,60.0,60.3,59.8,60.6,60.9,60.5,61.3
Bangladesh,BGD,Asia-Pacific,42.7,43.3,42.9,43.5,44.3,45.0,45.2,45.3,45.0,44.9,45.9,46.7,47.0,46.9
Belarus,BLR,Eastern Europe,54.6,54.5,54.4,55.1,55.9,55.4,56.0,57.0,56.6,57.0,57.4,58.7,58.5,59.3
Belgium,BEL,Western Europe,76.3,76.4,76.5,76.1,75.6,75.8,75.7,76.3,76.6,76.6,76.5,77.0,76.5,76.1
Belize,BLZ,Latin America and the Caribbean,53.4,54.0,54.3,53.8,53.9,54.2,54.4,54.6,54.7,54.5,54.5,54.7,54.8,54.9
Benin,BEN,Sub-Saharan Africa,43.6,43.8,44.1,44.3,44.4,43.9,45.1,45.1,45.0,44.8,45.5,45.3,46.2,46.8
Bolivia,BOL,Latin America and the Caribbean,50.3,50.1,49.5,49.6,50.0,50.4,51.7,52.1,52.1,52.0,52.3,52.4,52.3,52.3
Bosnia and Herzegovina,BIH,Eastern Europe,55.7,56.1,56.1,55.6,55.3,55.6,55.9,56.8,57.2,56.8,57.4,57.3,57.7,58.0
Botswana,BWA,Sub-Saharan Africa,56.2,55.7,55.6,55.8,55.9,56.5,56.9,57.2,57.8,56.8,57.1,56.7,57.1,57.1
Brazil,BRA,Latin America and the Caribbean,58.2,58.3,59.4,59.6,59.8,60.4,60.2,61.0,60.9,59.9,59.1,58.7,59.2,59.3
Bulgaria,BGR,Eastern Europe,60.7,61.0,61.2,61.9,61.6,61.6,62.2,62.4,62.7,62.5,62.9,63.8,63.4,64.4
Burkina Faso,BFA,Sub-Saharan Africa,42.1,41.8,42.1,42.2,42.6,43.3,43.3,44.3,44.3,44.5,44.7,44.9,45.0,44.8
Burundi,BDI,Sub-Saharan Africa,34.1,34.5,35.5,35.8,37.0,36.8,36.9,37.4,37.0,36.5,35.8,35.8,36.5,37.3
Cabo Verde,CPV,Sub-Saharan Africa,55.3,55.7,55.8,55.8,56.0,56.3,56.3,56.6,56.5,56.8,57.0,57.6,57.5,58.2
Cambodia,KHM,Asia-Pacific,44.7,44.9,45.2,46.9,47.1,48.0,47.4,47.5,47.2,47.2,47.9,48.2,48.2,48.5
Cameroon,CMR,Sub-Saharan Africa,40.7,41.1,41.3,41.0,42.0,42.3,42.9,43.2,42.1,41.2,40.7,41.6,41.1,41.4
Canada,CAN,North America,79.0,79.1,79.3,79.0,79.4,79.0,79.4,79.5,79.7,80.0,80.0,80.5,80.2,79.8
Central African Republic,CAF,Sub-Saharan Africa,32.8,32.8,32.9,32.3,32.0,31.9,32.5,30.8,30.7,30.6,29.8,30.4,31.1,31.4
Chad,TCD,Sub-Saharan Africa,30.7,29.5,31.1,28.9,29.8,31.7,32.5,33.2,33.7,33.6,32.7,32.1,32.2,32.5
Chile,CHL,Latin America and the Caribbean,68.0,67.7,67.7,67.2,67.8,67.6,68.0,67.8,68.5,68.1,68.0,69.0,69.2,68.4
China,CHN,Asia-Pacific,54.5,55.5,56.2,56.8,57.2,57.4,57.9,58.2,58.6,58.6,58.8,59.6,60.9,61.5
Colombia,COL,Latin America and the Caribbean,54.4,55.0,55.6,55.3,55.5,56.2,56.6,57.2,57.2,57.5,57.7,58.0,58.0,58.2
Comoros,COM,Sub-Saharan Africa,43.8,43.8,43.0,43.3,45.1,45.2,45.2,45.3,45.9,46.5,46.6,46.8,46.7,46.3
Congo,COG,Sub-Saharan Africa,39.1,39.3,39.8,39.3,40.5,41.3,41.8,41.4,40.9,41.4,39.7,39.9,40.4,41.2
